Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene type,Gene name 115
ENSGALG00010000002,,MT,1,69,Mt_tRNA,
ENSGALG00010000003,,MT,70,1045,Mt_rRNA,
ENSGALG00010000004,,MT,1046,1118,Mt_tRNA,
ENSGALG00010000005,,MT,1119,2740,Mt_rRNA,
ENSGALG00010000006,,MT,2741,2814,Mt_tRNA,
ENSGALG00010000007,ND1,MT,2824,3798,protein_coding,ND1
ENSGALG00010000008,,MT,3799,3870,Mt_tRNA,
ENSGALG00010000009,,MT,3876,3946,Mt_tRNA,
ENSGALG00010000010,,MT,3946,4014,Mt_tRNA,
ENSGALG00010000011,ND2,MT,4015,5053,protein_coding,ND2
ENSGALG00010000012,,MT,5054,5129,Mt_tRNA,
ENSGALG00010000013,,MT,5136,5204,Mt_tRNA,
ENSGALG00010000014,,MT,5208,5280,Mt_tRNA,
ENSGALG00010000015,,MT,5282,5347,Mt_tRNA,
ENSGALG00010000016,,MT,5347,5417,Mt_tRNA,
ENSGALG00010000017,COX1,MT,5419,6969,protein_coding,COX1
ENSGALG00010000018,,MT,6961,7035,Mt_tRNA,
ENSGALG00010000019,,MT,7038,7106,Mt_tRNA,
ENSGALG00010000020,COX2,MT,7108,7791,protein_coding,COX2
ENSGALG00010000021,,MT,7793,7860,Mt_tRNA,
ENSGALG00010000022,ATP8,MT,7862,8026,protein_coding,ATP8
ENSGALG00010000023,ATP6,MT,8017,8700,protein_coding,ATP6
ENSGALG00010000024,COX3,MT,8700,9483,protein_coding,COX3
ENSGALG00010000025,,MT,9485,9552,Mt_tRNA,
ENSGALG00010000026,ND3,MT,9553,9904,protein_coding,ND3
ENSGALG00010000027,,MT,9906,9973,Mt_tRNA,
ENSGALG00010000028,ND4L,MT,9974,10270,protein_coding,ND4L
ENSGALG00010000029,ND4,MT,10264,11641,protein_coding,ND4
ENSGALG00010000030,,MT,11642,11710,Mt_tRNA,
ENSGALG00010000031,,MT,11712,11776,Mt_tRNA,
ENSGALG00010000032,,MT,11778,11848,Mt_tRNA,
ENSGALG00010000033,ND5,MT,11849,13666,protein_coding,ND5
ENSGALG00010000034,CYTB,MT,13671,14813,protein_coding,CYTB
ENSGALG00010000035,,MT,14817,14885,Mt_tRNA,
ENSGALG00010000036,,MT,14886,14955,Mt_tRNA,
ENSGALG00010000037,ND6,MT,14962,15483,protein_coding,ND6
