Gene_stable_ID,Version (gene),Gene_name,Human_gene_stable_ID,Human_gene_name
ENSGALG00010000002,1,,,
ENSGALG00010000003,1,,,
ENSGALG00010000004,1,,,
ENSGALG00010000005,1,,,
ENSGALG00010000006,1,,,
ENSGALG00010000007,1,ND1,ENSG00000198888,MT-ND1
ENSGALG00010000008,1,,,
ENSGALG00010000009,1,,,
ENSGALG00010000010,1,,,
ENSGALG00010000011,1,ND2,ENSG00000198763,MT-ND2
ENSGALG00010000012,1,,,
ENSGALG00010000013,1,,,
ENSGALG00010000014,1,,,
ENSGALG00010000015,1,,,
ENSGALG00010000016,1,,,
ENSGALG00010000017,1,COX1,ENSG00000198804,MT-CO1
ENSGALG00010000018,1,,,
ENSGALG00010000019,1,,,
ENSGALG00010000020,1,COX2,ENSG00000198712,MT-CO2
ENSGALG00010000021,1,,,
ENSGALG00010000022,1,ATP8,,
ENSGALG00010000023,1,ATP6,ENSG00000198899,MT-ATP6
ENSGALG00010000024,1,COX3,ENSG00000198938,MT-CO3
ENSGALG00010000025,1,,,
ENSGALG00010000026,1,ND3,ENSG00000198840,MT-ND3
ENSGALG00010000027,1,,,
ENSGALG00010000028,1,ND4L,,
ENSGALG00010000029,1,ND4,ENSG00000198886,MT-ND4
ENSGALG00010000030,1,,,
ENSGALG00010000031,1,,,
ENSGALG00010000032,1,,,
ENSGALG00010000033,1,ND5,ENSG00000198786,MT-ND5
ENSGALG00010000034,1,CYTB,ENSG00000198727,MT-CYB
ENSGALG00010000035,1,,,
ENSGALG00010000036,1,,,
ENSGALG00010000037,1,ND6,ENSG00000198695,MT-ND6
ENSGALG00010000038,1,,,
ENSGALG00010000039,1,PDIA3,ENSG00000167004,PDIA3
ENSGALG00010000040,1,,,
ENSGALG00010000041,1,,,
ENSGALG00010000042,1,CKMT1B,ENSG00000223572,CKMT1A
ENSGALG00010000042,1,CKMT1B,ENSG00000237289,CKMT1B
ENSGALG00010000043,1,PPIP5K1,ENSG00000168781,PPIP5K1
ENSGALG00010000044,1,MAP1A,ENSG00000166963,MAP1A
ENSGALG00010000045,1,TP53BP1,ENSG00000067369,TP53BP1
ENSGALG00010000046,1,TUBGCP4,ENSG00000137822,TUBGCP4
ENSGALG00010000047,1,IQGAP3,ENSG00000140575,IQGAP1
ENSGALG00010000048,1,MAN2A2,ENSG00000196547,MAN2A2
ENSGALG00010000049,1,FES,ENSG00000182511,FES
ENSGALG00010000050,1,CIB1,ENSG00000185043,CIB1
ENSGALG00010000051,1,GDPGP1,ENSG00000183208,GDPGP1
ENSGALG00010000052,1,TTLL6,ENSG00000213471,TTLL13
ENSGALG00010000053,1,HDDC3,ENSG00000184508,HDDC3
ENSGALG00010000054,1,VPS33B,ENSG00000184056,VPS33B
ENSGALG00010000055,1,PRC1,ENSG00000198901,PRC1
ENSGALG00010000056,1,UNC45A,ENSG00000140553,UNC45A
ENSGALG00010000057,1,,,
ENSGALG00010000058,1,FURIN,ENSG00000140564,FURIN
ENSGALG00010000059,1,MFAP1,ENSG00000140259,MFAP1
ENSGALG00010000060,1,HYPK,ENSG00000242028,HYPK
ENSGALG00010000061,1,SERINC4,ENSG00000184716,SERINC4
ENSGALG00010000062,1,,,
ENSGALG00010000063,1,SERF2,ENSG00000140264,SERF2
ENSGALG00010000064,1,,,
ENSGALG00010000065,1,,,
ENSGALG00010000066,1,gga-mir-12218,,
ENSGALG00010000067,1,,,
ENSGALG00010000068,1,,,
ENSGALG00010000069,1,,ENSG00000128591,FLNC
ENSGALG00010000070,1,,,
ENSGALG00010000071,1,,ENSG00000116035,VAX2
ENSGALG00010000072,1,,,
ENSGALG00010000073,1,,,
ENSGALG00010000074,1,,,
ENSGALG00010000075,1,,ENSG00000008056,SYN1
ENSGALG00010000076,1,,,
ENSGALG00010000077,1,,,
ENSGALG00010000078,1,,,
ENSGALG00010000079,1,,ENSG00000189181,OR14I1
ENSGALG00010000079,1,,ENSG00000196772,OR14A16
ENSGALG00010000079,1,,ENSG00000241128,OR14A2
ENSGALG00010000079,1,,ENSG00000198452,OR14L1
ENSGALG00010000079,1,,ENSG00000204695,OR14J1
ENSGALG00010000079,1,,ENSG00000153230,OR14K1
ENSGALG00010000080,1,,ENSG00000189181,OR14I1
ENSGALG00010000080,1,,ENSG00000196772,OR14A16
ENSGALG00010000080,1,,ENSG00000241128,OR14A2
ENSGALG00010000080,1,,ENSG00000198452,OR14L1
ENSGALG00010000080,1,,ENSG00000204695,OR14J1
ENSGALG00010000080,1,,ENSG00000153230,OR14K1
ENSGALG00010000081,1,ALDOA,ENSG00000149925,ALDOA
ENSGALG00010000082,1,,,
ENSGALG00010000083,1,,ENSG00000189181,OR14I1
ENSGALG00010000083,1,,ENSG00000196772,OR14A16
ENSGALG00010000083,1,,ENSG00000241128,OR14A2
ENSGALG00010000083,1,,ENSG00000198452,OR14L1
ENSGALG00010000083,1,,ENSG00000204695,OR14J1
ENSGALG00010000083,1,,ENSG00000153230,OR14K1
ENSGALG00010000084,1,TLCD3B,ENSG00000149926,TLCD3B
ENSGALG00010000085,1,PIP4P1,ENSG00000165782,PIP4P1
ENSGALG00010000086,1,,,
ENSGALG00010000087,1,,,
ENSGALG00010000088,1,,,
ENSGALG00010000089,1,,ENSG00000198805,PNP
ENSGALG00010000090,1,,,
ENSGALG00010000091,1,,ENSG00000149596,JPH2
ENSGALG00010000092,1,INPPL1,ENSG00000165458,INPPL1
ENSGALG00010000093,1,,ENSG00000149596,JPH2
ENSGALG00010000094,1,,,
ENSGALG00010000095,1,,,
ENSGALG00010000096,1,,,
ENSGALG00010000097,1,,,
ENSGALG00010000098,1,,ENSG00000076928,ARHGEF1
ENSGALG00010000099,1,,,
ENSGALG00010000100,1,,,
ENSGALG00010000101,1,,ENSG00000149596,JPH2
ENSGALG00010000102,1,,,
ENSGALG00010000103,1,,,
ENSGALG00010000104,1,,,
ENSGALG00010000105,1,CACNA1F,ENSG00000102001,CACNA1F
ENSGALG00010000106,1,,ENSG00000204314,PRRT1
ENSGALG00010000107,1,,,
ENSGALG00010000108,1,,,
ENSGALG00010000109,1,,,
ENSGALG00010000110,1,,,
